SexRatio,ReleaseTimeStep,WolbAv
"(3, 10)",75,0.1758585858585859
"(5, 10)",25,1.9781818181818187
"(10, 1)",10,9.715151515151518
"(10, 10)",10,10.026060606060605
"(5, 1)",75,0.31878787878787884
"(3, 3)",50,0.1417171717171717
"(5, 10)",75,0.16141414141414145
"(3, 5)",100,0.027272727272727268
"(10, 3)",100,0.168888888888889
"(1, 1)",50,0.020707070707070705
"(3, 5)",25,0.47080808080808084
"(5, 3)",50,0.4824242424242424
"(3, 3)",10,3.70959595959596
"(10, 3)",25,5.692929292929294
"(3, 1)",50,0.18898989898989904
"(5, 5)",100,0.06525252525252526
"(10, 5)",50,1.260707070707072
"(3, 10)",50,0.07797979797979798
"(10, 1)",100,0.2888888888888891
"(3, 5)",75,0.06535353535353534
"(1, 1)",10,0.2844444444444445
"(10, 3)",75,0.665656565656566
"(5, 5)",25,1.5186868686868689
"(10, 10)",100,0.17606060606060614
"(5, 3)",10,7.218787878787879
"(5, 1)",50,0.253939393939394
"(3, 1)",10,2.9576767676767677
"(10, 1)",25,4.041818181818181
"(10, 5)",10,10.028888888888886
"(5, 10)",50,0.2094949494949495
"(3, 10)",10,4.831111111111112
"(10, 10)",25,4.48141414141414
"(5, 5)",75,0.16131313131313138
"(10, 1)",75,0.30202020202020224
"(5, 1)",10,7.074848484848485
"(3, 3)",100,0.053636363636363614
"(10, 10)",75,0.5019191919191921
"(5, 10)",10,8.813333333333334
"(3, 3)",25,0.2787878787878788
"(1, 1)",100,0.14969696969696972
"(3, 5)",50,0.17525252525252533
"(5, 3)",100,0.11464646464646469
"(10, 3)",50,1.4012121212121216
"(3, 1)",100,0.035454545454545454
"(10, 5)",100,0.3196969696969697
"(1, 1)",25,0.05656565656565658
"(3, 3)",75,0.06313131313131314
"(3, 10)",100,0.05535353535353535
"(5, 3)",25,0.7343434343434347
"(3, 1)",25,0.3850505050505052
"(5, 5)",50,0.24696969696969698
"(3, 5)",10,5.031717171717167
"(10, 3)",10,9.991414141414142
"(10, 5)",25,4.3708080808080805
"(3, 10)",25,0.6493939393939399
"(5, 1)",100,0.09131313131313135
"(10, 1)",50,0.6107070707070711
"(1, 1)",75,0.012525252525252524
"(5, 3)",75,0.12373737373737374
"(5, 10)",100,0.17353535353535357
"(10, 10)",50,1.0693939393939402
"(3, 1)",75,0.05434343434343433
"(10, 5)",75,0.5201010101010101
"(5, 1)",25,0.828484848484849
"(5, 5)",10,7.893535353535351
