SexRatio,ReleaseTimeStep,PersTime
"(3, 3)",300,24.19
"(5, 1)",250,77.96
"(5, 10)",200,287.71
"(5, 5)",350,134.44
"(5, 10)",250,231.68
"(5, 5)",150,135.43
"(10, 1)",350,447.88
"(10, 1)",150,511.63
"(1, 1)",300,10.21
"(10, 10)",350,503.12
"(5, 3)",300,118.09
"(10, 10)",150,560.89
"(3, 1)",300,39.34
"(10, 5)",300,467.63
"(3, 10)",300,59.9
"(3, 5)",200,46.26
"(10, 3)",200,480.77
"(3, 5)",250,42.73
"(10, 3)",250,507.94
"(3, 3)",350,38.63
"(5, 1)",300,114.79
"(3, 3)",150,24.22
"(5, 10)",300,186.65
"(5, 5)",200,179.08
"(5, 5)",250,165.72
"(1, 1)",350,11.87
"(10, 1)",200,466.9
"(5, 3)",350,147.61
"(1, 1)",150,11.91
"(10, 1)",250,430.85
"(10, 10)",200,571.1
"(5, 3)",150,119.1
"(3, 1)",350,32.02
"(10, 5)",350,438.49
"(10, 10)",250,581.2
"(3, 1)",150,45.81
"(10, 5)",150,605.41
"(3, 10)",350,49.88
"(3, 10)",150,51.79
"(3, 5)",300,35.49
"(10, 3)",300,409.98
"(5, 1)",350,84.33
"(5, 1)",150,74.78
"(3, 3)",200,25.42
"(5, 10)",350,220.6
"(5, 10)",150,230.56
"(3, 3)",250,29.76
"(5, 5)",300,166.17
"(1, 1)",200,10.5
"(10, 1)",300,368.88
"(5, 3)",200,101.61
"(1, 1)",250,12.03
"(10, 10)",300,418.86
"(3, 1)",200,24.66
"(5, 3)",250,112.59
"(10, 5)",200,533.47
"(3, 1)",250,23.21
"(3, 10)",200,50.25
"(10, 5)",250,480.9
"(3, 5)",350,42.1
"(10, 3)",350,487.83
"(3, 10)",250,66.13
"(3, 5)",150,36.88
"(10, 3)",150,542.33
"(5, 1)",200,90.9
