week,mean_array_015,mean_array_033,mean_array_2,mean_array_h
1,16.0,16.0,16.0,16.0
2,13.215300000000003,13.236200000000002,13.189200000000003,13.2821
3,13.489700000000001,13.491200000000003,13.446899999999996,13.535800000000004
4,13.6148,13.685799999999997,13.6081,13.659599999999998
5,13.708000000000002,13.903500000000003,13.7228,13.787499999999996
6,13.878100000000002,13.982299999999995,13.869300000000004,13.9544
7,13.888399999999999,14.019199999999998,13.982699999999998,13.986500000000001
8,13.9762,14.072900000000004,13.994599999999998,13.996399999999996
9,14.054999999999996,14.151200000000003,13.961200000000002,14.041900000000005
10,14.087700000000002,14.261600000000001,14.0113,14.077100000000003
11,14.027899999999997,14.211100000000004,14.195399999999996,14.087499999999993
12,14.091399999999995,14.2689,14.104500000000005,14.099100000000004
13,13.984200000000001,14.172700000000003,14.062800000000005,14.184200000000002
14,14.027400000000002,14.149200000000002,14.0963,14.190300000000004
15,14.088700000000003,14.208700000000006,14.108000000000004,14.070900000000004
16,14.047900000000006,14.197799999999997,14.139499999999998,14.1521
17,14.0457,14.192999999999998,14.127999999999995,14.146300000000002
18,14.032599999999995,14.1919,14.113000000000005,14.16670000000001
19,14.051899999999991,14.119100000000005,14.1251,14.199200000000008
20,14.0962,14.112200000000003,14.083200000000001,14.072799999999994
21,14.112699999999993,14.155800000000001,14.158299999999997,14.069799999999997
22,14.114400000000003,14.138600000000002,14.181499999999996,14.053999999999991
23,13.367699999999996,12.924799999999998,12.226300000000002,12.018600000000001
24,12.256300000000003,11.644100000000005,10.9796,10.815600000000003
25,11.947899999999997,11.364799999999997,10.86,10.700500000000002
26,12.092,11.5766,11.155000000000005,10.9879
27,12.387000000000002,11.9617,11.617100000000002,11.472299999999997
28,12.7526,12.3792,12.0813,11.944299999999998
29,13.067699999999995,12.725599999999996,12.567200000000003,12.442100000000003
30,13.34789999999999,13.083999999999994,12.8213,12.773900000000005
31,13.597299999999997,13.3157,13.168199999999997,13.071500000000004
32,13.761599999999998,13.551999999999998,13.372899999999994,13.365300000000001
33,13.815900000000005,13.7162,13.596000000000005,13.494399999999999
34,13.926999999999998,13.807499999999997,13.668599999999996,13.6783
35,13.985100000000003,13.896899999999995,13.817300000000007,13.852499999999997
36,14.023100000000005,13.887200000000007,13.8871,13.941399999999993
37,14.061999999999996,13.995799999999997,13.976300000000002,13.9758
38,14.117,14.035999999999994,14.083900000000002,14.047400000000005
