"Single release, community wide",,,,,,,,,"Single release, household-level",,,,,,,
H,gamma,rho,tau,alpha,release size,release time,job no.,,H,gamma,rho,tau,alpha,release size,release time,job no.
100,2,0.33,1,0.1,800,150,67128792,,,,,,,,,
100,2,0.33,1,0.5,800,150,67128793,,,,,,,,,
100,2,0.33,1,0.03,800,150,67128794,,,,,,,,,
100,2,2,0.15,0.1,800,150,67114450,,,,,,,,,
100,2,2,0.15,0.5,800,150,67114451,,,,,,,,,
100,2,2,0.15,0.03,800,150,67120817,,,,,,,,,
100,2,2,0.33,0.1,800,150,67114453,,,,,,,,,
100,2,2,0.33,0.5,800,150,67114454,,,,,,,,,
100,2,2,0.33,0.03,800,150,67120818,,,,,,,,,
100,2,2,1,0.1,800,150,67128795,,,,,,,,,
100,2,2,1,0.5,800,150,67128796,,,,,,,,,
100,2,2,1,0.03,800,150,67128797,,,,,,,,,
