SexRatio,ReleaseTimeStep,WolbAv
"(3, 3)",300,7.6084000000000005
"(5, 1)",250,9.503199999999998
"(5, 10)",200,10.745999999999999
"(5, 5)",350,9.3988
"(5, 10)",250,9.9822
"(5, 5)",150,10.039599999999998
"(10, 1)",350,10.040000000000003
"(10, 1)",150,10.243799999999998
"(1, 1)",300,1.4174
"(10, 10)",350,10.039200000000001
"(5, 3)",300,8.5396
"(10, 10)",150,10.408199999999999
"(3, 1)",300,6.827399999999996
"(10, 5)",300,9.977000000000002
"(3, 10)",300,7.313599999999997
"(3, 5)",200,9.804599999999999
"(10, 3)",200,11.3688
"(3, 5)",250,7.912799999999997
"(10, 3)",250,10.511
"(3, 3)",350,6.991400000000002
"(5, 1)",300,8.538599999999997
"(3, 3)",150,10.095600000000005
"(5, 10)",300,9.5186
"(5, 5)",200,10.516399999999999
"(5, 5)",250,9.675000000000004
"(1, 1)",350,1.1079999999999997
"(10, 1)",200,11.321800000000001
"(5, 3)",350,9.137599999999999
"(1, 1)",150,5.9562
"(10, 1)",250,10.430399999999999
"(10, 10)",200,11.436999999999998
"(5, 3)",150,10.3172
"(3, 1)",350,6.464399999999999
"(10, 5)",350,10.0462
"(10, 10)",250,10.3424
"(3, 1)",150,9.931199999999997
"(10, 5)",150,10.4428
"(3, 10)",350,6.155399999999999
"(3, 10)",150,10.098999999999998
"(3, 5)",300,6.799599999999999
"(10, 3)",300,9.932799999999999
"(5, 1)",350,8.183199999999998
"(5, 1)",150,9.980799999999999
"(3, 3)",200,9.223600000000001
"(5, 10)",350,9.727600000000006
"(5, 10)",150,10.265799999999999
"(3, 3)",250,7.692999999999999
"(5, 5)",300,8.825800000000005
"(1, 1)",200,3.531400000000001
"(10, 1)",300,9.972199999999999
"(5, 3)",200,10.336800000000004
"(1, 1)",250,2.053600000000001
"(10, 10)",300,10.008600000000003
"(3, 1)",200,9.0424
"(5, 3)",250,9.416799999999999
"(10, 5)",200,11.359800000000007
"(3, 1)",250,7.495400000000001
"(3, 10)",200,9.4158
"(10, 5)",250,10.3322
"(3, 5)",350,7.0272000000000014
"(10, 3)",350,10.0972
"(3, 10)",250,8.285199999999996
"(3, 5)",150,10.062400000000004
"(10, 3)",150,10.445999999999996
"(5, 1)",200,9.568600000000002
