SexRatio,ReleaseTimeStep,WolbAv
"(3, 3)",300,7.662599999999998
"(5, 1)",250,9.5508
"(5, 10)",200,10.6728
"(5, 5)",350,9.283599999999998
"(5, 10)",250,10.0202
"(5, 5)",150,10.0582
"(10, 1)",350,10.069199999999999
"(10, 1)",150,10.266599999999999
"(1, 1)",300,1.3701999999999999
"(10, 10)",350,10.141000000000002
"(5, 3)",300,8.554399999999998
"(10, 10)",150,10.471799999999998
"(3, 1)",300,6.7784
"(10, 5)",300,9.913799999999998
"(3, 10)",300,7.3489999999999975
"(3, 5)",200,9.700000000000001
"(10, 3)",200,11.312400000000004
"(3, 5)",250,7.9642
"(10, 3)",250,10.528600000000004
"(3, 3)",350,7.080400000000002
"(5, 1)",300,8.485200000000003
"(3, 3)",150,10.1088
"(5, 10)",300,9.4986
"(5, 5)",200,10.6552
"(5, 5)",250,9.687800000000001
"(1, 1)",350,1.1529999999999994
"(10, 1)",200,11.2252
"(5, 3)",350,9.0128
"(1, 1)",150,5.979400000000002
"(10, 1)",250,10.472800000000001
"(10, 10)",200,11.476000000000004
"(5, 3)",150,10.1986
"(3, 1)",350,6.527200000000001
"(10, 5)",350,9.984200000000001
"(10, 10)",250,10.305600000000002
"(3, 1)",150,9.8126
"(10, 5)",150,10.390799999999999
"(3, 10)",350,6.1061999999999985
"(3, 10)",150,10.1046
"(3, 5)",300,6.862599999999998
"(10, 3)",300,10.030800000000003
"(5, 1)",350,8.330199999999998
"(5, 1)",150,10.029600000000002
"(3, 3)",200,9.282199999999998
"(5, 10)",350,9.732199999999999
"(5, 10)",150,10.263600000000002
"(3, 3)",250,7.7836
"(5, 5)",300,8.879199999999999
"(1, 1)",200,3.3919999999999995
"(10, 1)",300,9.9248
"(5, 3)",200,10.293199999999997
"(1, 1)",250,1.9989999999999992
"(10, 10)",300,10.1144
"(3, 1)",200,9.038199999999998
"(5, 3)",250,9.3398
"(10, 5)",200,11.3102
"(3, 1)",250,7.488000000000003
"(3, 10)",200,9.5204
"(10, 5)",250,10.2274
"(3, 5)",350,7.03
"(10, 3)",350,9.976999999999999
"(3, 10)",250,8.157600000000004
"(3, 5)",150,9.999799999999999
"(10, 3)",150,10.418199999999999
"(5, 1)",200,9.563800000000002
