SexRatio,ReleaseTimeStep,InvProb
"(3, 10)",75,0.011414141414141415
"(5, 10)",25,0.20878787878787886
"(10, 1)",10,1.0
"(10, 10)",10,1.0
"(5, 1)",75,0.03151515151515152
"(3, 3)",50,0.012020202020202025
"(5, 10)",75,0.011414141414141417
"(3, 5)",100,0.011414141414141417
"(10, 3)",100,0.011919191919191918
"(1, 1)",50,0.001313131313131313
"(3, 5)",25,0.03404040404040404
"(5, 3)",50,0.052323232323232355
"(3, 3)",10,0.44868686868686875
"(10, 3)",25,0.6467676767676768
"(3, 1)",50,0.021212121212121217
"(5, 5)",100,0.00202020202020202
"(10, 5)",50,0.15101010101010107
"(3, 10)",50,0.002323232323232324
"(10, 1)",100,0.022020202020202023
"(3, 5)",75,0.0015151515151515152
"(1, 1)",10,0.02404040404040404
"(10, 3)",75,0.08161616161616164
"(5, 5)",25,0.17979797979797987
"(10, 10)",100,0.010303030303030303
"(5, 3)",10,0.9310101010101011
"(5, 1)",50,0.022525252525252525
"(3, 1)",10,0.3270707070707071
"(10, 1)",25,0.5230303030303031
"(10, 5)",10,1.0
"(5, 10)",50,0.014444444444444449
"(3, 10)",10,0.6030303030303031
"(10, 10)",25,0.661919191919192
"(5, 5)",75,0.01090909090909091
"(10, 1)",75,0.021616161616161603
"(5, 1)",10,0.8235353535353537
"(3, 3)",100,0.001313131313131313
"(10, 10)",75,0.05383838383838385
"(5, 10)",10,0.954949494949495
"(3, 3)",25,0.022626262626262616
"(1, 1)",100,0.02151515151515152
"(3, 5)",50,0.012121212121212126
"(5, 3)",100,0.022525252525252525
"(10, 3)",50,0.18686868686868688
"(3, 1)",100,0.0017171717171717174
"(10, 5)",100,0.022121212121212118
"(1, 1)",25,0.001616161616161616
"(3, 3)",75,0.001313131313131313
"(3, 10)",100,0.0016161616161616164
"(5, 3)",25,0.07202020202020204
"(3, 1)",25,0.022727272727272728
"(5, 5)",50,0.011919191919191927
"(3, 5)",10,0.582121212121212
"(10, 3)",10,1.0
"(10, 5)",25,0.5488888888888889
"(3, 10)",25,0.07535353535353537
"(5, 1)",100,0.031919191919191924
"(10, 1)",50,0.05979797979797981
"(1, 1)",75,0.0009090909090909091
"(5, 3)",75,0.0020202020202020206
"(5, 10)",100,0.011818181818181818
"(10, 10)",50,0.15535353535353538
"(3, 1)",75,0.0011111111111111111
"(10, 5)",75,0.051818181818181805
"(5, 1)",25,0.07818181818181821
"(5, 5)",10,0.9034343434343435
