SexRatio,ReleaseTimeStep,PersTime
"(3, 10)",75,3.99
"(5, 10)",25,4.99
"(10, 1)",10,6.11
"(10, 10)",10,5.02
"(5, 1)",75,4.85
"(3, 3)",50,4.01
"(5, 10)",75,5.01
"(3, 5)",100,4.15
"(10, 3)",100,4.5
"(1, 1)",50,4.96
"(3, 5)",25,5.19
"(5, 3)",50,5.25
"(3, 3)",10,5.8
"(10, 3)",25,5.75
"(3, 1)",50,5.49
"(5, 5)",100,5.63
"(10, 5)",50,5.74
"(3, 10)",50,3.8
"(10, 1)",100,5.26
"(3, 5)",75,4.77
"(1, 1)",10,6.26
"(10, 3)",75,5.79
"(5, 5)",25,5.59
"(10, 10)",100,6.46
"(5, 3)",10,6.75
"(5, 1)",50,4.53
"(3, 1)",10,7.03
"(10, 1)",25,6.24
"(10, 5)",10,6.19
"(5, 10)",50,4.87
"(3, 10)",10,4.7
"(10, 10)",25,4.87
"(5, 5)",75,5.65
"(10, 1)",75,4.32
"(5, 1)",10,5.75
"(3, 3)",100,4.28
"(10, 10)",75,4.87
"(5, 10)",10,4.88
"(3, 3)",25,4.89
"(1, 1)",100,3.2
"(3, 5)",50,5.44
"(5, 3)",100,5.06
"(10, 3)",50,4.91
"(3, 1)",100,4.89
"(10, 5)",100,5.58
"(1, 1)",25,6.05
"(3, 3)",75,4.89
"(3, 10)",100,4.72
"(5, 3)",25,5.66
"(3, 1)",25,5.64
"(5, 5)",50,4.83
"(3, 5)",10,5.33
"(10, 3)",10,6.17
"(10, 5)",25,5.86
"(3, 10)",25,4.45
"(5, 1)",100,3.6
"(10, 1)",50,5.4
"(1, 1)",75,3.87
"(5, 3)",75,4.23
"(5, 10)",100,5.09
"(10, 10)",50,4.72
"(3, 1)",75,5.74
"(10, 5)",75,5.5
"(5, 1)",25,4.44
"(5, 5)",10,5.77
